RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          650     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  299  302     0     0  con    0  1.0D+00  4.3D-03  1.446D-01  5.202D+03
  300  303     0     0  con    0  1.0D+00  2.7D-03  1.527D-01  5.202D+03
  301  304     0     0  con    0  1.0D+00  4.0D-03  1.154D-01  5.202D+03
  302  305     0     0  con    0  1.0D+00  3.0D-03  1.180D-01  5.202D+03
  303  306     0     0  con    0  1.0D+00  3.2D-03  2.011D-01  5.202D+03
  304  307     0     0  con    0  1.0D+00  2.3D-03  1.193D-01  5.202D+03
  305  308     0     0  con    0  1.0D+00  2.0D-03  1.072D-01  5.202D+03
  306  309     0     0  con    0  1.0D+00  2.1D-03  1.263D-01  5.202D+03
  307  310     0     0  con    0  1.0D+00  4.6D-03  1.405D-01  5.202D+03
  308  311     0     0  con    0  1.0D+00  1.1D-03  1.309D-01  5.202D+03
  309  312     0     0  con    0  1.0D+00  9.8D-04  9.757D-02  5.202D+03
  310  313     0     0  con    0  1.0D+00  2.2D-03  1.076D-01  5.202D+03
  311  314     0     0  con    0  1.0D+00  1.9D-03  1.054D-01  5.202D+03
  312  315     0     0  con    0  1.0D+00  1.9D-03  1.198D-01  5.202D+03
  313  316     0     0  con    0  1.0D+00  2.7D-03  1.135D-01  5.202D+03
  314  317     0     0  con    0  1.0D+00  3.6D-03  1.431D-01  5.202D+03
  315  318     0     0  con    0  1.0D+00  5.4D-03  1.161D-01  5.202D+03
  316  319     0     0  con    0  1.0D+00  3.6D-03  1.120D-01  5.202D+03
  317  320     0     0  con    0  1.0D+00  1.5D-03  1.561D-01  5.202D+03
  318  321     0     0  con    0  1.0D+00  1.3D-03  1.585D-01  5.202D+03
  319  322     0     0  con    0  1.0D+00  2.7D-03  1.419D-01  5.202D+03
  320  323     0     0  con    0  1.0D+00  6.0D-03  1.975D-01  5.202D+03
  321  324     0     0  con    0  1.0D+00  8.0D-03  1.552D-01  5.202D+03
  322  325     0     0  con    0  1.0D+00  1.3D-02  1.384D-01  5.202D+03
  323  326     0     0  con    0  1.0D+00  3.0D-03  1.306D-01  5.202D+03
  324  327     0     0  con    0  1.0D+00  2.5D-03  1.233D-01  5.202D+03
  325  328     0     0  con    0  1.0D+00  6.6D-03  1.611D-01  5.202D+03
  326  329     0     0  con    0  1.0D+00  5.2D-03  9.659D-02  5.202D+03
  327  330     0     0  con    0  1.0D+00  4.0D-03  1.045D-01  5.202D+03
  328  331     0     0  con    0  1.0D+00  1.5D-03  1.030D-01  5.202D+03
  329  332     0     0  con    0  1.0D+00  1.9D-03  1.069D-01  5.202D+03
  330  333     0     0  con    0  1.0D+00  5.4D-03  1.359D-01  5.202D+03
  331  334     0     0  con    0  1.0D+00  6.7D-03  1.288D-01  5.202D+03
  332  335     0     0  con    0  1.0D+00  4.1D-03  1.194D-01  5.202D+03
  333  336     0     0  con    0  1.0D+00  3.5D-03  1.370D-01  5.202D+03
  334  337     0     0  con    0  1.0D+00  3.4D-03  1.413D-01  5.202D+03
  335  338     0     0  con    0  1.0D+00  2.0D-03  1.159D-01  5.202D+03
  336  339     0     0  con    0  1.0D+00  1.7D-03  1.442D-01  5.202D+03
  337  340     0     0  con    0  1.0D+00  1.7D-03  1.008D-01  5.202D+03
  338  341     0     0  con    0  1.0D+00  2.4D-03  1.520D-01  5.202D+03
  339  342     0     0  con    0  1.0D+00  2.4D-03  1.167D-01  5.202D+03
  340  343     0     0  con    0  1.0D+00  4.1D-03  1.584D-01  5.202D+03
  341  344     0     0  con    0  1.0D+00  9.5D-04  1.093D-01  5.202D+03
  342  345     0     0  con    0  1.0D+00  9.2D-04  1.243D-01  5.202D+03
  343  346     0     0  con    0  1.0D+00  1.9D-03  1.232D-01  5.202D+03
  344  347     0     0  con    0  1.0D+00  3.8D-03  1.491D-01  5.202D+03
  345  348     0     0  con    0  1.0D+00  4.7D-03  1.282D-01  5.202D+03
  346  349     0     0  con    0  1.0D+00  1.2D-02  1.587D-01  5.202D+03
  347  350     0     0  con    0  1.0D+00  6.3D-03  1.318D-01  5.202D+03
  348  351     0     0  con    0  1.0D+00  1.9D-02  1.485D-01  5.202D+03
  349  352     0     0  con    0  1.0D+00  1.6D-02  2.022D-01  5.202D+03
  350  353     0     0  con    0  1.0D+00  7.4D-03  1.448D-01  5.202D+03
  351  354     0     0  con    0  1.0D+00  6.5D-03  1.477D-01  5.202D+03
  352  355     0     0  con    0  1.0D+00  3.4D-03  1.837D-01  5.202D+03
  353  356     0     0  con    0  1.0D+00  9.9D-03  1.945D-01  5.202D+03
  354  357     0     0  con    0  1.0D+00  4.3D-03  1.923D-01  5.202D+03
  355  359     0     0  con    1  3.8D-01  6.2D-03  2.122D-01  5.202D+03
  356  361     0     0  con    1  2.6D-01  4.2D-03  1.492D-01  5.202D+03
  357  362     0     0  con    0  1.0D+00  3.8D-03  1.685D-01  5.202D+03
  358  363     0     0  con    0  1.0D+00  2.0D-03  1.247D-01  5.202D+03
  359  364     0     0  con    0  1.0D+00  2.5D-03  1.137D-01  5.202D+03
  360  365     0     0  con    0  1.0D+00  3.2D-03  1.494D-01  5.202D+03
  361  366     0     0  con    0  1.0D+00  1.6D-03  1.155D-01  5.202D+03
  362  367     0     0  con    0  1.0D+00  1.8D-03  1.360D-01  5.202D+03
  363  368     0     0  con    0  1.0D+00  1.6D-03  1.310D-01  5.202D+03
  364  369     0     0  con    0  1.0D+00  3.5D-03  1.292D-01  5.202D+03
  365  370     0     0  con    0  1.0D+00  3.0D-03  1.259D-01  5.202D+03
  366  371     0     0  con    0  1.0D+00  5.4D-03  1.255D-01  5.202D+03
  367  372     0     0  con    0  1.0D+00  6.7D-03  1.140D-01  5.202D+03
  368  373     0     0  con    0  1.0D+00  9.9D-03  1.641D-01  5.202D+03
  369  374     0     0  con    0  1.0D+00  2.3D-03  1.500D-01  5.202D+03
  370  375     0     0  con    0  1.0D+00  1.6D-03  1.425D-01  5.202D+03
  371  376     0     0  con    0  1.0D+00  6.8D-03  1.454D-01  5.202D+03
  372  377     0     0  con    0  1.0D+00  1.4D-02  1.682D-01  5.202D+03
  373  378     0     0  con    0  1.0D+00  1.1D-01  1.833D-01  5.202D+03
  374  379     0     0  con    0  1.0D+00  2.5D-02  2.592D-01  5.202D+03
  375  381     0     0  con    1  3.1D-01  3.3D-02  2.411D-01  5.202D+03
  376  382     0     0  con    0  1.0D+00  1.1D-02  2.424D-01  5.202D+03
  377  383     0     0  con    0  1.0D+00  2.0D-02  2.084D-01  5.202D+03
  378  384     0     0  con    0  1.0D+00  2.2D-02  1.967D-01  5.202D+03
  379  385     0     0  con    0  1.0D+00  1.7D-02  1.696D-01  5.202D+03
  380  386     0     0  con    0  1.0D+00  7.7D-03  1.556D-01  5.202D+03
  381  387     0     0  con    0  1.0D+00  7.2D-03  1.343D-01  5.202D+03
  382  388     0     0  con    0  1.0D+00  4.3D-03  1.886D-01  5.202D+03
  383  389     0     0  con    0  1.0D+00  1.6D-03  1.546D-01  5.202D+03
  384  390     0     0  con    0  1.0D+00  3.0D-03  1.393D-01  5.202D+03
  385  391     0     0  con    0  1.0D+00  2.0D-03  1.315D-01  5.202D+03
  386  392     0     0  con    0  1.0D+00  3.7D-03  1.580D-01  5.202D+03
  387  393     0     0  con    0  1.0D+00  1.8D-03  1.137D-01  5.202D+03
  388  394     0     0  con    0  1.0D+00  1.9D-03  1.681D-01  5.202D+03
  389  395     0     0  con    0  1.0D+00  1.8D-03  1.502D-01  5.202D+03
  390  396     0     0  con    0  1.0D+00  2.2D-03  1.220D-01  5.202D+03
  391  397     0     0  con    0  1.0D+00  2.7D-03  1.112D-01  5.202D+03
  392  398     0     0  con    0  1.0D+00  2.2D-03  1.410D-01  5.202D+03
  393  399     0     0  con    0  1.0D+00  1.6D-03  1.466D-01  5.202D+03
  394  400     0     0  con    0  1.0D+00  1.3D-03  1.155D-01  5.202D+03
  395  401     0     0  con    0  1.0D+00  4.0D-03  1.386D-01  5.202D+03
  396  402     0     0  con    0  1.0D+00  2.3D-03  1.216D-01  5.202D+03
  397  403     0     0  con    0  1.0D+00  2.0D-03  1.491D-01  5.202D+03
  398  404     0     0  con    0  1.0D+00  2.9D-03  1.044D-01  5.202D+03
  399  405     0     0  con    0  1.0D+00  9.3D-04  1.005D-01  5.202D+03
  400  406     0     0  con    0  1.0D+00  1.2D-03  8.894D-02  5.202D+03
  401  407     0     0  con    0  1.0D+00  1.8D-03  1.281D-01  5.202D+03
  402  408     0     0  con    0  1.0D+00  2.8D-03  1.202D-01  5.202D+03
  403  409     0     0  con    0  1.0D+00  2.7D-03  1.287D-01  5.202D+03
  404  410     0     0  con    0  1.0D+00  2.4D-03  1.308D-01  5.202D+03
  405  411     0     0  con    0  1.0D+00  1.1D-03  1.244D-01  5.202D+03
  406  412     0     0  con    0  1.0D+00  1.9D-03  9.793D-02  5.202D+03
  407  413     0     0  con    0  1.0D+00  3.3D-03  9.263D-02  5.202D+03
  408  414     0     0  con    0  1.0D+00  1.3D-03  1.146D-01  5.202D+03
  409  415     0     0  con    0  1.0D+00  1.4D-03  8.752D-02  5.202D+03
  410  416     0     0  con    0  1.0D+00  9.1D-04  8.471D-02  5.202D+03
  411  417     0     0  con    0  1.0D+00  1.5D-03  1.090D-01  5.202D+03
  412  418     0     0  con    0  1.0D+00  2.9D-03  1.383D-01  5.202D+03
  413  419     0     0  con    0  1.0D+00  1.3D-03  1.135D-01  5.202D+03
  414  420     0     0  con    0  1.0D+00  8.8D-04  8.077D-02  5.202D+03
  415  421     0     0  con    0  1.0D+00  1.9D-03  1.354D-01  5.202D+03
  416  422     0     0  con    0  1.0D+00  8.3D-04  1.390D-01  5.202D+03
  417  423     0     0  con    0  1.0D+00  1.0D-03  1.340D-01  5.202D+03
  418  424     0     0  con    0  1.0D+00  2.5D-03  1.090D-01  5.202D+03
  419  425     0     0  con    0  1.0D+00  3.1D-03  1.541D-01  5.202D+03
  420  426     0     0  con    0  1.0D+00  4.2D-03  1.231D-01  5.202D+03
  421  427     0     0  con    0  1.0D+00  2.8D-03  1.096D-01  5.202D+03
  422  428     0     0  con    0  1.0D+00  6.5D-03  1.215D-01  5.202D+03
  423  429     0     0  con    0  1.0D+00  5.8D-03  1.453D-01  5.202D+03
  424  430     0     0  con    0  1.0D+00  8.9D-03  1.271D-01  5.202D+03
  425  431     0     0  con    0  1.0D+00  4.5D-03  2.609D-01  5.202D+03
  426  432     0     0  con    0  1.0D+00  2.4D-03  1.220D-01  5.202D+03
  427  433     0     0  con    0  1.0D+00  5.0D-03  1.188D-01  5.202D+03
  428  434     0     0  con    0  1.0D+00  4.2D-03  1.106D-01  5.202D+03
  429  436     0     0  con    1  2.6D-01  2.5D-03  1.186D-01  5.202D+03
  430  438     0     0  con    1  2.8D-01  1.3D-03  1.508D-01  5.202D+03
  431  439     0     0  con    0  1.0D+00  8.7D-04  9.743D-02  5.202D+03
  432  440     0     0  con    0  1.0D+00  9.9D-04  1.057D-01  5.202D+03
  433  441     0     0  con    0  1.0D+00  1.2D-03  8.631D-02  5.202D+03
  434  442     0     0  con    0  1.0D+00  1.8D-03  1.121D-01  5.202D+03
  435  443     0     0  con    0  1.0D+00  1.1D-03  8.760D-02  5.202D+03
  436  444     0     0  con    0  1.0D+00  8.1D-04  1.222D-01  5.202D+03
  437  445     0     0  con    0  1.0D+00  9.2D-04  8.881D-02  5.202D+03
